23,Parc de Montaudran,27
23,Lécrivain,28
23,Armentières,29
23,Gonin,30
23,Montaudran Gare SNCF,31
23,Latécoère,32
23,Aérodrome,33
23,Herbettes,34
23,INSA,35
23,Rangueil,36
24,Gare routière,1
24,Jean Jaurès,2
24,Jeanne d'Arc,3
24,Compans-Caffarelli,4
24,Pont du Béarnais,5
24,Aéroport,6
26,Borderouge,1
26,Vignes,2
26,Fénelon,3
26,Grand Selve,4
26,Froideterre,5
26,Boudou,6
26,Les Sables,7
26,Ecole Sablettes,8
26,Sablettes,9
26,Ch. d'Encourse,10
26,Faïence,11
26,Porte de Virebent,12
26,Lumière,13
26,Condorcet,14
26,Carnot,15
26,Las Clotos,16
26,Moulis,17
26,Launaguet Nobles,18
27,Lycée Toulouse-Lautrec,1
27,Puget,2
27,Fauvettes,3
27,Eylau,4
27,Guynemer,5
27,Negreneys Canal,6
27,Passerelle,7
27,Raisin,8
27,Bd des Minimes,9
27,Pont Matabiau,10
27,Matabiau Gare SNCF,11
27,Riquet,12
27,Colombette,13
27,Guilhemery,14
27,Seel,15
27,Passerelle St-Sauveur,16
27,Archives Départementales,17
27,Trois Fours,18
27,Bouloc,19
27,Fages,20
27,Place de Lespinet,21
27,Fontainebleau,22
27,Lespinet Struxiano,23
27,Herbettes,24
27,Aérodrome,25
27,Latécoère,26
27,CREPS  ONERA,27
27,ISAE Campus SUPAERO,28
27,ENAC,29
27,LAAS,30
27,Giordano Bruno,31
27,Sports Universitaires,32
27,Naturopole,33
27,Ramonville,34
28,Cours Dillon,1
28,Pont Neuf,2
28,Brunière,3
28,Salin-Parlement,4
28,Féral,5
28,Carmes,6
28,Trois Banquets,7
28,Jean Jaurès,8
28,Bellegarde,9
28,Rémusat,10
28,St Sernin,11
28,Embarthe,11
28,Arsenal,12
28,Embarthe,12
28,Quai St Pierre,13
28,Arsenal,13
28,Quai St Pierre,14
28,Gambetta,14
28,Gambetta,15
28,Quai de la Daurade,15
28,Quai de la Daurade,16
28,Cours Dillon,16
28,Cours Dillon,17
29,Grand Rond,1
29,François Verdier,2
29,St-Georges,3
29,Jean Jaurès,4
29,Jeanne d'Arc,5
29,Concorde,6
29,A. Bernard,7
29,Pont des Minimes,8
29,Eglise Minimes,9
29,Minimes - Claude Nougaro,10
29,Baqué,11
29,Barrière de Paris,12
29,Charlas,13
29,Jules Ferry,14
29,Bastiat,15
29,Dulong,16
29,Pader,17
29,Pont de la Vache,18
29,Collège Lalande,19
29,Riché Lalande,20
29,Lapin,21
29,Roubiéchou,22
29,Lapparou,23
29,Gaussen,24
29,Salvy,25
29,Eglise Aucamville,26
29,Mairie Aucamville,27
29,Favasse,28
29,Payen,29
29,Aucamville Collège,30
31,Grand Rond,1
31,Jardin Royal,2
31,Palais de Justice,3
31,Ile du Ramier,4
31,Fer à Cheval,5
31,Teinturiers,6
31,St Cyprien - République,7
31,Les Abattoirs,8
31,Amidonniers,9
